Name,OS,Price,Resolution,Screen,Size,Primary,Secondary,Weight,Sensors,Announced
Xiaomi Redmi Y1 Lite,Android 7.0 (Nougat),108.9,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.5% screen-to-body ratio)","13 MP, f/2.2, phase detection autofocus, LED flash","5 MP, f/2.0",150,"Accelerometer, gyro, proximity, compass","2017, November"
Xiaomi Redmi 4a,Android 6.0.1 (Marshmallow),133.1,"720 x 1280 pixels, 16:9 ratio (~296 ppi density)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.0 cm2 (~69.0% screen-to-body ratio)","13 MP, f/2.2, autofocus, LED flash, check quality","5 MP, f/2.2",131,"Accelerometer, gyro, proximity","2016, November"
Xiaomi Redmi 4 (4X),"Android 6.0.1 (Marshmallow), upgradable to 7.1.2 (Nougat)",133.1,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~70.7% screen-to-body ratio)","13 MP, f/2.0, phase detection autofocus, LED flash, check quality","5 MP, f/2.2, 1080p",150,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2017, May"
Xiaomi Redmi 4 (China),Android 6.0.1 (Marshmallow),157.3,"720 x 1280 pixels, 16:9 ratio (~296 ppi density)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.0 cm2 (~69.1% screen-to-body ratio)","13 MP, f/2.2, phase detection autofocus, LED flash","5 MP, f/2.2, 1080p",156,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2016, November"
Huawei Honor 6C Pro,Android 7.0 (Nougat),157.3,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)","S-IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~68.9% screen-to-body ratio)","13 MP, f/2.2, phase detection autofocus, LED flash","8 MP, f/2.2",145,"Fingerprint (rear-mounted), accelerometer, proximity, compass","2017, October"
Xiaomi Redmi Y1 (Note 5A),Android 7.0 (Nougat),169.4,"720 x 1280 pixels, 16:9 ratio (~236 ppi density)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 106.7 cm2 (~91.6% screen-to-body ratio)","13 MP, f/2.2, phase detection autofocus, LED flash","16 MP, f/2.0, 1080p",153,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2017, November"
Huawei Honor Holly 3,Android 6.0 (Marshmallow),169.4,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.1% screen-to-body ratio)","13 MP, f/2.0, 28mm, autofocus, LED flash","8 MP, f/2.0, 1/4"" sensor size, 1.12 Âµm pixel size",168,"Accelerometer, proximity, compass","2016, October"
Xiaomi Redmi 3s Prime,Android 6.0.1 (Marshmallow),181.5,720 x 1280 pixels (~294 ppi pixel density),"IPS LCD capacitive touchscreen, 16M colors",5.0 inches (~71.1% screen-to-body ratio),"13 MP, f/2.0, phase detection autofocus, LED flash, check quality","5 MP, f/2.2, 1080p",144,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2016, August"
Xiaomi Redmi Note 5,Android 7.1.2 (Nougat),181.5,"1080 x 2160 pixels, 18:9 ratio (~403 ppi density)","IPS LCD capacitive touchscreen, 16M colors","5.99 inches, 92.6 cm2","Dual: 12 MP, phase detection autofocus, dual-LED dual-tone flash","5 MP, 1080p",-,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Not announced yet
Xiaomi Redmi 4 Prime,Android 6.0.1 (Marshmallow),193.6,1080 x 1920 pixels (~441 ppi pixel density),"IPS LCD capacitive touchscreen, 16M colors",5.0 inches (~70.1% screen-to-body ratio),"13 MP, f/2.2, phase detection autofocus, dual-LED (dual tone) flash, check quality","5 MP, f/2.2, 1080p",156,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2016, November"
